typeName,latitude,longitude,lat_lon,address,count
Bulky Items,34.1858496173,-118.461495433,"(34.1858496173, -118.461495433)","15051 W FRIAR ST, 91411",2
Graffiti,34.0493921447,-118.283467631,"(34.0493921447, -118.283467631)","2210 W 12TH ST, 90006",2
Graffiti,34.0466008526,-118.218147037,"(34.0466008526, -118.218147037)","1852 E 1ST ST, 90033",2
Graffiti,34.0492710772,-118.243998539,"(34.0492710772, -118.243998539)","252 S LOS ANGELES ST, 90012",2
Bulky Items,33.9863999224,-118.328244898,"(33.9863999224, -118.328244898)","3207 W 59TH PL, 90043",2
Bulky Items,34.1915947309,-118.465998112,"(34.1915947309, -118.465998112)","6640 N SEPULVEDA BLVD, 91411",2
Graffiti,34.046812811,-118.245256272,"(34.046812811, -118.245256272)","227 E 4TH ST, 90013",2
Bulky Items,34.1911362161,-118.481353912,"(34.1911362161, -118.481353912)","6626 N GAVIOTA AVE, 91406",2
Graffiti,34.046848669,-118.273515656,"(34.046848669, -118.273515656)","1500 W 11TH ST, 90015",2
Graffiti,34.0469579232,-118.219115565,"(34.0469579232, -118.219115565)","1820 E 1ST ST, 90033",2
Graffiti,34.0470086033,-118.308580176,"(34.0470086033, -118.308580176)","3078 W PICO BLVD, 90006",2
Graffiti,34.0471466686,-118.218604405,"(34.0471466686, -118.218604405)","1831 E 1ST ST, 90033",2
Graffiti,34.0472022906,-118.273071033,"(34.0472022906, -118.273071033)","1064 S VALENCIA ST, 90015",2
Bulky Items,34.1900887363,-118.548175035,"(34.1900887363, -118.548175035)","19020 W KITTRIDGE ST, 91335",2
Bulky Items,34.1898623677,-118.583341108,"(34.1898623677, -118.583341108)","20634 W KITTRIDGE ST, 91306",2
Bulky Items,34.1898183652,-118.520777032,"(34.1898183652, -118.520777032)","6543 N BALCOM AVE, 91335",2
Graffiti,34.047229852,-118.246049903,"(34.047229852, -118.246049903)","207 E 4TH ST, 90013",2
Bulky Items,34.1896538353,-118.622792085,"(34.1896538353, -118.622792085)","22730 W HAYNES ST, 91307",2
Graffiti,34.0473890338,-118.220958047,"(34.0473890338, -118.220958047)","1741 E 1ST ST, 90033",2
Graffiti,34.0474933906,-118.256693605,"(34.0474933906, -118.256693605)","601 W 7TH ST, 90017",2
Graffiti,34.0476697907,-118.210244559,"(34.0476697907, -118.210244559)","2200 E CESAR E CHAVEZ AVE, 90033",2
Bulky Items,34.1886389528,-118.389792764,"(34.1886389528, -118.389792764)","11760 W HAMLIN ST, 91606",2
Graffiti,34.0476790654,-118.271443622,"(34.0476790654, -118.271443622)","1400 W OLYMPIC BLVD, 90015",2
Bulky Items,34.1884574697,-118.483403857,"(34.1884574697, -118.483403857)","6462 N WOODLEY AVE, 91406",2
Graffiti,34.0479453246,-118.211690236,"(34.0479453246, -118.211690236)","414 N ST LOUIS ST, 90033",2
Graffiti,34.0480484884,-118.327555907,"(34.0480484884, -118.327555907)","4225 W PICO BLVD, 90019",2
Bulky Items,34.1879895528,-118.646099435,"(34.1879895528, -118.646099435)","23828 W MOBILE ST, 91307",2
Graffiti,34.0481437233,-118.283421634,"(34.0481437233, -118.283421634)","1240 S LAKE ST, 90006",2
Graffiti,34.0481902846,-118.211408657,"(34.0481902846, -118.211408657)","2102 E CESAR E CHAVEZ AVE, 90033",2
Graffiti,34.0490796013,-118.269556644,"(34.0490796013, -118.269556644)","1314 W JAMES M. WOOD BLVD, 90015",2
Graffiti,34.0491721191,-118.26976205,"(34.0491721191, -118.26976205)","1320 W JAMES M. WOOD BLVD, 90015",2
Graffiti,34.0361497145,-118.309273533,"(34.0361497145, -118.309273533)","2201 S WESTERN AVE, 90018",2
Bulky Items,34.2043768278,-118.443534922,"(34.2043768278, -118.443534922)","7335 N KATHERINE AVE, 91405",2
Bulky Items,34.2267293487,-118.51451232,"(34.2267293487, -118.51451232)","17446 W NAPA ST, 91325",2
Graffiti,34.0262575815,-118.248749523,"(34.0262575815, -118.248749523)","1600 S CENTRAL AVE, 90021",2
Bulky Items,34.222096889,-118.622665955,"(34.222096889, -118.622665955)","8381 N MAYNARD AVE, 91304",2
Graffiti,34.0251910343,-118.272942907,"(34.0251910343, -118.272942907)","2700 S GRAND AVE, 90007",2
Graffiti,34.0252585821,-118.192465719,"(34.0252585821, -118.192465719)","801 S INDIANA ST, 90023",2
Graffiti,34.0253966846,-118.202693471,"(34.0253966846, -118.202693471)","1015 S LORENA ST, 90023",2
Graffiti,34.0254309624,-118.337003745,"(34.0254309624, -118.337003745)","3716 W JEFFERSON BLVD, 90016",2
Graffiti,34.0254512608,-118.331987944,"(34.0254512608, -118.331987944)","3306 W JEFFERSON BLVD, 90018",2
Graffiti,34.0254745053,-118.252259305,"(34.0254745053, -118.252259305)","1101 E WASHINGTON BLVD, 90021",2
Graffiti,34.0257253415,-118.258563671,"(34.0257253415, -118.258563671)","2100 S SAN PEDRO ST, 90011",2
Bulky Items,34.21943661,-118.556610422,"(34.21943661, -118.556610422)","19424 W CANTARA ST, 91335",2
Graffiti,34.0258042548,-118.267818996,"(34.0258042548, -118.267818996)","2440 S MAIN ST, 90007",2
Graffiti,34.0258600915,-118.254164677,"(34.0258600915, -118.254164677)","830 E WASHINGTON BLVD, 90021",2
Graffiti,34.0260699955,-118.269056026,"(34.0260699955, -118.269056026)","2510 S BROADWAY, 90007",2
Bulky Items,34.2186916997,-118.457649379,"(34.2186916997, -118.457649379)","14901 W WILLARD ST, 91402",2
Graffiti,34.026430377,-118.233790971,"(34.026430377, -118.233790971)","2187 E OLYMPIC BLVD, 90021",2
Bulky Items,34.2044134821,-118.636276571,"(34.2044134821, -118.636276571)","23276 W VALERIO ST, 91304",2
Graffiti,34.0264854609,-118.198461602,"(34.0264854609, -118.198461602)","3500 E WHITTIER BLVD, 90023",2
Graffiti,34.0264862287,-118.248543235,"(34.0264862287, -118.248543235)","1548 S CENTRAL AVE, 90021",2
Bulky Items,34.2180811043,-118.467067158,"(34.2180811043, -118.467067158)","15301 W LANARK ST, 91405",2
Graffiti,34.0264988604,-118.25543509,"(34.0264988604, -118.25543509)","770 E WASHINGTON BLVD, 90021",2
Graffiti,34.0268165076,-118.255183696,"(34.0268165076, -118.255183696)","777 E WASHINGTON BLVD, 90021",2
Graffiti,34.0269561749,-118.21664717,"(34.0269561749, -118.21664717)","2753 E 8TH ST, 90023",2
Graffiti,34.0270203857,-118.255623175,"(34.0270203857, -118.255623175)","757 E WASHINGTON BLVD, 90021",2
Graffiti,34.0270320601,-118.257642253,"(34.0270320601, -118.257642253)","1918 S SAN PEDRO ST, 90011",2
Bulky Items,34.2176584591,-118.433804614,"(34.2176584591, -118.433804614)","8054 N CANTALOUPE AVE, 91402",2
Graffiti,34.0273726953,-118.257509835,"(34.0273726953, -118.257509835)","1920 S SAN PEDRO ST, 90011",2
Bulky Items,34.2165361577,-118.514588509,"(34.2165361577, -118.514588509)","17507 W BALTAR ST, 91325",2
Bulky Items,34.2160681688,-118.455232217,"(34.2160681688, -118.455232217)","7960 N WILLIS AVE, 91402",2
Bulky Items,34.2158673948,-118.526215149,"(34.2158673948, -118.526215149)","8000 N HESPERIA AVE, 91335",2
Graffiti,34.0251555879,-118.264245602,"(34.0251555879, -118.264245602)","2320 S MAPLE AVE, 90011",2
Bulky Items,34.2224534105,-118.376155823,"(34.2224534105, -118.376155823)","11236 W DORA ST, 91352",2
Bulky Items,34.222771803,-118.444486464,"(34.222771803, -118.444486464)","8337 N TYRONE AVE, 91402",2
Graffiti,34.0247045492,-118.259153588,"(34.0247045492, -118.259153588)","2200 S SAN PEDRO ST, 90011",2
Graffiti,34.0225653574,-118.256008603,"(34.0225653574, -118.256008603)","2231 S GRIFFITH AVE, 90011",2
Graffiti,34.0227432786,-118.274456094,"(34.0227432786, -118.274456094)","3022 S GRAND AVE, 90007",2
Graffiti,34.0228128435,-118.247918065,"(34.0228128435, -118.247918065)","1402 E WASHINGTON BLVD, 90021",2
Bulky Items,34.226334329,-118.45520465,"(34.226334329, -118.45520465)","8600 N WILLIS AVE, 91402",2
Graffiti,34.0229500931,-118.276235342,"(34.0229500931, -118.276235342)","342 W 31ST ST, 90007",2
Graffiti,34.0229934782,-118.270119054,"(34.0229934782, -118.270119054)","2801 S MAIN ST, 90007",2
Bulky Items,34.2260859324,-118.554825494,"(34.2260859324, -118.554825494)","8553 N AURA AVE, 91324",2
Graffiti,34.0230859937,-118.27294109,"(34.0230859937, -118.27294109)","2843 S HILL ST, 90007",2
Graffiti,34.0230917714,-118.260178703,"(34.0230917714, -118.260178703)","2400 S SAN PEDRO ST, 90011",2
Bulky Items,34.2258941545,-118.462363158,"(34.2258941545, -118.462363158)","8545 N WISNER AVE, 91343",2
Graffiti,34.0235637077,-118.25779755,"(34.0235637077, -118.25779755)","2217 S STANFORD AVE, 90011",2
Bulky Items,34.2252121026,-118.405610407,"(34.2252121026, -118.405610407)","12508 W WICKS ST, 91352",2
Graffiti,34.0236874528,-118.259802419,"(34.0236874528, -118.259802419)","2304 S SAN PEDRO ST, 90011",2
Graffiti,34.0237666246,-118.219173186,"(34.0237666246, -118.219173186)","2720 E OLYMPIC BLVD, 90023",2
Bulky Items,34.2250876521,-118.39854044,"(34.2250876521, -118.39854044)","12180 W PEORIA ST, 91352",2
Bulky Items,34.224884174,-118.465658029,"(34.224884174, -118.465658029)","8505 N COLUMBUS AVE, 91343",2
Bulky Items,34.2248188351,-118.455917232,"(34.2248188351, -118.455917232)","14805 W CHASE ST, 91402",2
Graffiti,34.023848346,-118.25970171,"(34.023848346, -118.25970171)","2300 S SAN PEDRO ST, 90011",2
Graffiti,34.0238891211,-118.203446767,"(34.0238891211, -118.203446767)","LORENA ST AT BESWICK ST, 90023",2
Bulky Items,34.2243798906,-118.556745986,"(34.2243798906, -118.556745986)","8466 N TUNNEY AVE, 91324",2
Graffiti,34.0242449161,-118.192603031,"(34.0242449161, -118.192603031)","3743 E WHITTIER BLVD, 90023",2
Graffiti,34.0243728797,-118.259760249,"(34.0243728797, -118.259760249)","2225 S SAN PEDRO ST, 90011",2
Graffiti,34.024450459,-118.250875476,"(34.024450459, -118.250875476)","1232 E WASHINGTON BLVD, 90021",2
Graffiti,34.024486004,-118.272705895,"(34.024486004, -118.272705895)","247 W 28TH ST, 90007",2
Bulky Items,34.2238746884,-118.611909728,"(34.2238746884, -118.611909728)","8464 N MOORCROFT AVE, 91304",2
Bulky Items,34.2232466083,-118.432033749,"(34.2232466083, -118.432033749)","8362 N BUFFALO AVE, 91402",2
Graffiti,34.0246899072,-118.202706469,"(34.0246899072, -118.202706469)","3409 E ATLANTIC ST, 90023",2
Graffiti,34.0277207388,-118.214004714,"(34.0277207388, -118.214004714)","1115 S MARIETTA ST, 90023",2
Graffiti,34.0280240227,-118.269878643,"(34.0280240227, -118.269878643)","223 W 24TH ST, 90007",2
Graffiti,34.0281439072,-118.269523292,"(34.0281439072, -118.269523292)","2315 S HILL ST, 90007",2
Bulky Items,34.2102212995,-118.584967807,"(34.2102212995, -118.584967807)","20722 W KESWICK ST, 91306",2
Bulky Items,34.2093359141,-118.396359062,"(34.2093359141, -118.396359062)","7630 N LAUREL CANYON BLVD, 91605",2
Graffiti,34.0325496988,-118.262149079,"(34.0325496988, -118.262149079)","1621 S LOS ANGELES ST, 90015",2
Graffiti,34.0326630483,-118.262060883,"(34.0326630483, -118.262060883)","1615 S LOS ANGELES ST, 90015",2
Graffiti,34.0328099739,-118.263294278,"(34.0328099739, -118.263294278)","100 W 17TH ST, 90015",2
Bulky Items,34.208436335,-118.594548603,"(34.208436335, -118.594548603)","21205 W SATICOY ST, 91304",2
Bulky Items,34.2082487358,-118.516987392,"(34.2082487358, -118.516987392)","17614 W SATICOY ST, 91406",2
Bulky Items,34.2076393545,-118.516930406,"(34.2076393545, -118.516930406)","17613 W COVELLO ST, 91406",2
Graffiti,34.0331302954,-118.245266202,"(34.0331302954, -118.245266202)","1227 E OLYMPIC BLVD, 90021",2
Bulky Items,34.2073920074,-118.571309985,"(34.2073920074, -118.571309985)","7555 N WINNETKA AVE, 91306",2
Bulky Items,34.2073117461,-118.385738995,"(34.2073117461, -118.385738995)","7525 N IRVINE AVE, 91605",2
Bulky Items,34.2072413164,-118.63268255,"(34.2072413164, -118.63268255)","7544 N BOBBYBOYAR AVE, 91304",2
Bulky Items,34.2071745298,-118.566328624,"(34.2071745298, -118.566328624)","7539 N MADORA AVE, 91306",2
Bulky Items,34.2069990974,-118.429620181,"(34.2069990974, -118.429620181)","7560 N WOODMAN PL, 91405",2
Graffiti,34.0331635263,-118.245378422,"(34.0331635263, -118.245378422)","1239 E OLYMPIC BLVD, 90021",2
Graffiti,34.0332547705,-118.243629827,"(34.0332547705, -118.243629827)","831 S CENTRAL AVE, 90021",2
Graffiti,34.033347937,-118.195950975,"(34.033347937, -118.195950975)","3434 E 4TH ST, 90063",2
Graffiti,34.0335601423,-118.261269168,"(34.0335601423, -118.261269168)","1527 S LOS ANGELES ST, 90015",2
Graffiti,34.0336227572,-118.262898599,"(34.0336227572, -118.262898599)","1601 S MAIN ST, 90015",2
Bulky Items,34.2062361214,-118.52641349,"(34.2062361214, -118.52641349)","7455 N HESPERIA AVE, 91335",2
Bulky Items,34.2059881319,-118.465882311,"(34.2059881319, -118.465882311)","7440 N SEPULVEDA BLVD, 91405",2
Bulky Items,34.2057400669,-118.598910356,"(34.2057400669, -118.598910356)","7440 N ALABAMA AVE, 91303",2
Graffiti,34.0345603795,-118.26210828,"(34.0345603795, -118.26210828)","1421 S MAIN ST, 90015",2
Graffiti,34.0346926801,-118.263311879,"(34.0346926801, -118.263311879)","1529 S BROADWAY, 90015",2
Graffiti,34.0348767359,-118.263162964,"(34.0348767359, -118.263162964)","1501 S BROADWAY, 90015",2
Graffiti,34.0353854279,-118.25993068,"(34.0353854279, -118.25993068)","1315 S LOS ANGELES ST, 90015",2
Graffiti,34.03564699,-118.218341108,"(34.03564699, -118.218341108)","2201 E WHITTIER BLVD, 90023",2
Graffiti,34.0356956365,-118.201217868,"(34.0356956365, -118.201217868)","3100 E 4TH ST, 90063",2
Graffiti,34.0317234605,-118.244610336,"(34.0317234605, -118.244610336)","915 S CENTRAL AVE, 90021",2
Graffiti,34.0317206453,-118.265789399,"(34.0317206453, -118.265789399)","139 W WASHINGTON BLVD, 90015",2
Graffiti,34.0282980913,-118.266740343,"(34.0282980913, -118.266740343)","2205 S MAIN ST, 90007",2
Bulky Items,34.2104431328,-118.505409047,"(34.2104431328, -118.505409047)","7700 N AMESTOY AVE, 91406",2
Bulky Items,34.2153916061,-118.64674847,"(34.2153916061, -118.64674847)","23825 W STRATHERN ST, 91304",2
Graffiti,34.0283203377,-118.220403652,"(34.0283203377, -118.220403652)","2600 E 8TH ST, 90023",2
Bulky Items,34.2150583383,-118.521045611,"(34.2150583383, -118.521045611)","17803 W BLYTHE ST, 91335",2
Graffiti,34.0285140113,-118.20243911,"(34.0285140113, -118.20243911)","3301 E WHITTIER BLVD, 90023",2
Graffiti,34.0287930003,-118.259417111,"(34.0287930003, -118.259417111)","519 E WASHINGTON BLVD, 90015",2
Bulky Items,34.2145635751,-118.456556808,"(34.2145635751, -118.456556808)","7911 N KESTER AVE, 91402",2
Graffiti,34.028803351,-118.19701807,"(34.028803351, -118.19701807)","3501 E SABINA ST, 90023",2
Bulky Items,34.2145156046,-118.607058951,"(34.2145156046, -118.607058951)","7922 N HANNA AVE, 91304",2
Graffiti,34.0288210938,-118.200486976,"(34.0288210938, -118.200486976)","801 S LORENA ST, 90023",2
Bulky Items,34.2142668619,-118.435645045,"(34.2142668619, -118.435645045)","7909 N PEACHTREE AVE, 91402",2
Graffiti,34.029012694,-118.197523488,"(34.029012694, -118.197523488)","3473 SABINA ST, 90023",2
Graffiti,34.0291660535,-118.260193844,"(34.0291660535, -118.260193844)","437 E WASHINGTON BLVD, 90015",2
Graffiti,34.0294752275,-118.195548103,"(34.0294752275, -118.195548103)","3529 E 6TH ST, 90023",2
Bulky Items,34.2137870185,-118.604164517,"(34.2137870185, -118.604164517)","21901 W ARMINTA ST, 91304",2
Bulky Items,34.2137619953,-118.617875507,"(34.2137619953, -118.617875507)","7901 N KENTLAND AVE, 91304",2
Graffiti,34.0295950929,-118.261105024,"(34.0295950929, -118.261105024)","401 E WASHINGTON BLVD, 90015",2
Bulky Items,34.2132924141,-118.516004181,"(34.2132924141, -118.516004181)","7845 N TEXHOMA AVE, 91325",2
Bulky Items,34.2131346734,-118.389043759,"(34.2131346734, -118.389043759)","7841 N SIMPSON AVE, 91605",2
Bulky Items,34.2130828128,-118.632473824,"(34.2130828128, -118.632473824)","7843 N WOODLAKE AVE, 91304",2
Graffiti,34.0301703938,-118.194977574,"(34.0301703938, -118.194977574)","3501 E LANFRANCO ST, 90063",2
Graffiti,34.0308015244,-118.196151275,"(34.0308015244, -118.196151275)","520 S ESTUDILLO AVE, 90063",2
Bulky Items,34.2122334058,-118.43944925,"(34.2122334058, -118.43944925)","14026 W STAGG ST, 91402",2
Graffiti,34.0309375211,-118.244970976,"(34.0309375211, -118.244970976)","1105 S CENTRAL AVE, 90021",2
Graffiti,34.0311076078,-118.264358126,"(34.0311076078, -118.264358126)","1844 S MAIN ST, 90015",2
Bulky Items,34.2116135108,-118.437483324,"(34.2116135108, -118.437483324)","13964 W STROUD ST, 91402",2
Graffiti,34.0313541389,-118.195193372,"(34.0313541389, -118.195193372)","3489 E 5TH ST, 90063",2
Bulky Items,34.2110576008,-118.630405052,"(34.2110576008, -118.630405052)","7732 N QUIMBY AVE, 91304",2
Bulky Items,33.9864551306,-118.286204292,"(33.9864551306, -118.286204292)","5927 S BONSALLO AVE, 90044",2
Graffiti,33.7076398328,-118.294615746,"(33.7076398328, -118.294615746)","841 W PASEO DEL MAR, 90731",2
Bulky Items,33.7315721762,-118.283794918,"(33.7315721762, -118.283794918)","306 W 14TH ST, 90731",2
Bulky Items,33.7978503427,-118.264078865,"(33.7978503427, -118.264078865)","1711 N AVALON BLVD, 90744",2
Bulky Items,33.9549785432,-118.307786645,"(33.9549785432, -118.307786645)","8946 S HOBART BLVD, 90047",2
Bulky Items,33.9402214919,-118.257934591,"(33.9402214919, -118.257934591)","923 E 106TH ST, 90002",2
Multiple Streetlights,34.035267928,-118.299316,"(34.035267928, -118.299316)","1658 W 23RD ST, 90007",2
Metal/Appliances,34.2225374302,-118.453721465,"(34.2225374302, -118.453721465)","8331 N CEDROS AVE, 91402",2
Bulky Items,33.9840570094,-118.285494302,"(33.9840570094, -118.285494302)","666 W 61ST ST, 90044",2
Bulky Items,33.9399956745,-118.276758001,"(33.9399956745, -118.276758001)","212 W 106TH ST, 90003",2
Animal Remains,34.2144940934,-118.623211893,"(34.2144940934, -118.623211893)","7930 N FALLBROOK AVE, 91304",2
Bulky Items,33.984014523,-118.323448084,"(33.984014523, -118.323448084)","6050 S 6TH AVE, 90043",2
Bulky Items,33.9703043361,-118.300001172,"(33.9703043361, -118.300001172)","1351 W 77TH ST, 90044",2
Bulky Items,33.7783386213,-118.278636981,"(33.7783386213, -118.278636981)","1317 W G ST, 90744",2
Bulky Items,33.9702436413,-118.308831539,"(33.9702436413, -118.308831539)","7620 S WESTERN AVE, 90047",2
Water Waste,34.0345813882,-118.403203932,"(34.0345813882, -118.403203932)","10012 W ROSSBURY PL, 90064",2
